Subject,Chapter,Topic,Mental Recall,,10 min,Verbal Recall,,,20 min,Written,,24 hrs,Guided Recall,,Practice Questions,,,,,,,,,,3 Days,Mental,Verbal,Practice,,,2 Days,Mental,Verbal,Practice,,,4 Days,Mental,Verbal,Practice,,,Teaching,Mock,Full Mock
,,,1,2,,1,2,3,,1,2,,1,2,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,,,,1,2,3,,,,1,2,3,,,
Engineering Mathematics,Linear Algebra,"Matrix types: symmetric, skew-symmetric, Hermitian, orthogonal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Linear Algebra,Determinant properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Linear Algebra,Rank via row-reduction (RREF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Linear Algebra,Linear transformations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Linear Algebra,Diagonalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Linear Algebra,Characteristic equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Linear Algebra,Cayley–Hamilton theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Calculus,Euler’s theorem for homogeneous functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Calculus,Jacobians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Calculus,Change of variables in multiple integrals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Calculus,Gradient-based optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Calculus,Convergence of improper integrals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Differential Equations,Exact differential equations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Differential Equations,Bernoulli’s equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Differential Equations,Homogeneous and non-homogeneous ODE classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Differential Equations,Undetermined coefficients method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Differential Equations,Sturm–Liouville form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Vector Calculus,Conservative vector fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Vector Calculus,Irrotational vs solenoidal fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Vector Calculus,Divergence theorem applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Vector Calculus,Vector identities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Complex Analysis,Harmonic functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Complex Analysis,Cauchy–Riemann equations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Complex Analysis,"Singularities: removable, poles, essential",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Complex Analysis,Residue computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Probability & Statistics,Bayes theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Probability & Statistics,"Variance, covariance, correlation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Probability & Statistics,Moment generating function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Probability & Statistics,"Joint PDFs, CDFs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mathematics,Probability & Statistics,Central limit theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Circuit Analysis,Source transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Circuit Analysis,Maximum power transfer (AC/DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Circuit Analysis,Transient responses of RL/RC/RLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Circuit Analysis,Initial/final value theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",2-port Networks,z-parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",2-port Networks,y-parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",2-port Networks,h-parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",2-port Networks,ABCD parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",2-port Networks,Reciprocity and symmetry tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Continuous-time Signals,Parseval’s theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Continuous-time Signals,"Time-scaling, modulation, convolution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Continuous-time Signals,"Signal properties: linearity, time-invariance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Discrete-time Signals,Aliasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Discrete-time Signals,Circular convolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",Discrete-time Signals,DFT leakage and windowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",LTI Systems,Minimum vs non-minimum phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",LTI Systems,Causal vs non-causal impulse response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networks, Signals and Systems",LTI Systems,Linear vs circular convolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,Semiconductor Basics,Fermi level movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,Semiconductor Basics,Intrinsic concentration formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,Semiconductor Basics,Mass action law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,Carrier Transport,Einstein relation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,Carrier Transport,Minority-carrier diffusion length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,Carrier Transport,Quasi-neutral region approximation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,PN Junction,Depletion width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,PN Junction,Diffusion vs drift currents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,PN Junction,Junction capacitances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,PN Junction,Small-signal diode model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,BJTs,Ebers–Moll model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,BJTs,Operating regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,BJTs,Early effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,MOSFET,Threshold voltage components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,MOSFET,Channel-length modulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,MOSFET,Body effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Devices,MOSFET,MOS capacitances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,Diode Circuits,Ripple factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,Diode Circuits,Peak inverse voltage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,Diode Circuits,Small-signal diode resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,BJT/MOS Amplifiers,CE/CB/CC amplifier parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,BJT/MOS Amplifiers,Gain-bandwidth product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,BJT/MOS Amplifiers,Miller effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,BJT/MOS Amplifiers,Frequency compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,Differential Amplifiers,CMRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,Differential Amplifiers,Tail current source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog Circuits,Differential Amplifiers,Differential vs common-mode gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
